Gender,Age,StudyHoursPerWeek,AttendancePercentage,PreviousGrade,SleepHours,Absences,ParentEducation,FamilyIncome,ExtracurricularActivities,InternetAccess,ExamScore,PassFail
Female,16,20.7,69.9,67.8,6.9,3,Master,89587,Yes,Yes,55.0,Pass
Male,22,16.5,91.9,66.9,7.0,5,High School,77317,No,Yes,60.3,Pass
Female,18,12.6,85.5,54.9,6.3,9,Master,24371,No,Yes,49.8,Fail
Female,16,18.0,92.6,64.9,7.5,4,Bachelor,112226,No,Yes,63.4,Pass
Female,21,25.4,67.2,84.7,7.4,1,Associate,57355,Yes,No,61.4,Pass
Female,16,13.2,79.9,82.5,8.1,1,High School,115956,No,Yes,52.5,Pass
Male,18,8.2,56.5,81.6,6.3,3,Bachelor,131538,No,Yes,49.9,Fail
Male,20,20.6,71.2,81.1,6.5,2,Associate,120126,Yes,Yes,68.6,Pass
Male,21,13.3,90.1,74.1,8.0,3,Associate,26338,Yes,Yes,71.3,Pass
Female,16,1.0,53.9,73.6,7.3,1,Bachelor,20477,No,Yes,49.0,Fail
Female,17,19.1,81.9,71.4,5.9,5,Master,60423,No,Yes,53.1,Pass
Female,17,10.8,61.7,62.2,8.6,4,Master,93973,No,Yes,44.9,Fail
Female,16,13.5,52.8,69.2,5.0,10,Associate,47236,No,Yes,33.8,Fail
Male,20,16.0,89.0,71.0,7.9,4,Associate,149440,No,Yes,56.4,Pass
Male,19,15.1,84.8,76.9,5.5,3,High School,43839,No,Yes,54.0,Pass
Male,18,18.3,56.5,69.4,9.3,5,Associate,135537,Yes,Yes,53.2,Pass
Female,17,11.4,62.7,97.5,5.1,2,High School,129902,Yes,No,51.1,Pass
Male,19,17.1,83.1,51.1,8.4,3,Doctorate,119051,Yes,Yes,53.7,Pass
Male,16,12.4,88.3,78.6,6.9,4,Bachelor,25139,No,Yes,59.6,Pass
Male,22,18.4,64.2,67.4,6.6,2,High School,126314,No,No,50.3,Pass
Male,19,17.7,87.5,68.0,7.2,1,Associate,82262,Yes,Yes,55.8,Pass
Female,21,8.4,83.9,56.6,7.8,5,Associate,29975,No,Yes,48.3,Fail
Female,15,20.5,76.2,82.3,5.9,6,Associate,149616,Yes,Yes,66.0,Pass
Female,17,10.8,91.6,77.1,6.0,7,High School,102984,Yes,No,39.9,Fail
Male,16,18.8,65.6,79.7,7.8,2,Doctorate,106366,Yes,Yes,75.2,Pass
Female,22,16.2,74.3,70.4,5.0,5,High School,138491,No,Yes,53.2,Pass
Female,18,25.0,72.3,63.5,6.3,5,High School,68382,No,Yes,57.1,Pass
Female,22,12.7,79.1,67.1,10.0,7,High School,41926,Yes,Yes,46.4,Fail
Female,20,11.9,73.6,74.1,5.8,5,Bachelor,114538,Yes,Yes,59.8,Pass
Male,21,13.9,58.0,39.9,8.4,4,High School,131117,No,Yes,41.3,Fail
Male,16,12.2,81.2,80.2,6.3,7,High School,31333,Yes,Yes,51.1,Pass
Female,18,18.8,95.8,100.0,7.6,9,Associate,34942,No,Yes,70.0,Pass
Female,20,4.3,82.5,74.7,7.8,3,Bachelor,92397,No,Yes,52.6,Pass
Male,20,7.7,85.1,64.1,8.4,5,High School,39530,Yes,Yes,46.7,Fail
Female,16,7.6,79.8,65.7,6.8,3,Associate,65060,Yes,Yes,51.0,Pass
Female,21,19.7,93.8,77.9,9.4,1,Associate,99292,Yes,Yes,69.5,Pass
Female,19,24.3,94.6,64.4,6.3,5,High School,59104,No,Yes,55.4,Pass
Female,19,13.4,79.6,80.2,7.3,3,Associate,20634,No,Yes,53.4,Pass
Male,20,13.0,77.7,65.6,7.3,4,High School,25288,Yes,Yes,53.8,Pass
Male,19,14.4,82.6,92.0,5.7,6,High School,52253,No,Yes,60.3,Pass
Female,15,21.0,60.8,91.6,6.7,3,Associate,144628,No,No,59.1,Pass
Female,20,8.4,66.2,63.4,7.2,4,High School,45005,Yes,Yes,38.0,Fail
Male,20,15.4,91.4,66.9,6.5,8,High School,67824,No,Yes,47.0,Fail
Male,18,19.9,82.5,67.7,9.9,6,Associate,95702,Yes,Yes,54.9,Pass
Male,19,17.0,70.7,67.9,6.0,2,Master,35798,No,Yes,66.0,Pass
Male,21,15.1,79.5,54.7,8.4,3,Bachelor,73267,Yes,Yes,55.5,Pass
Female,20,20.0,62.6,52.8,8.0,6,Master,21846,Yes,Yes,51.4,Pass
Female,22,,77.3,85.5,7.0,1,Master,81571,No,Yes,54.6,Pass
Male,21,18.1,63.2,83.3,6.0,2,Doctorate,32481,No,Yes,63.2,Pass
Female,15,10.1,79.9,83.0,6.1,4,Bachelor,142908,No,Yes,61.0,Pass
Male,18,3.0,78.0,67.0,6.4,0,Bachelor,60154,No,Yes,41.5,Fail
Male,16,17.1,90.2,94.5,4.9,2,Associate,147447,Yes,Yes,70.4,Pass
Male,21,22.2,90.4,67.7,5.8,4,High School,26048,Yes,Yes,57.1,Pass
Female,20,13.2,92.4,80.1,5.2,7,Bachelor,45386,Yes,No,59.9,Pass
Male,15,19.7,72.2,48.6,8.6,3,Doctorate,122794,Yes,Yes,61.9,Pass
Female,17,23.7,86.5,64.8,7.7,3,Associate,52713,No,Yes,55.9,Pass
Male,15,21.9,82.6,65.8,7.9,3,Bachelor,95481,No,Yes,53.1,Pass
Male,15,23.8,80.2,67.1,7.7,6,Associate,57899,Yes,Yes,57.9,Pass
Female,18,18.5,65.4,49.4,7.2,5,Associate,108217,Yes,Yes,54.2,Pass
Male,16,14.5,75.5,77.9,8.8,4,Associate,32975,Yes,Yes,63.5,Pass
Male,17,4.4,87.2,82.4,6.3,2,Associate,91247,No,Yes,53.2,Pass
Female,19,12.5,98.2,57.6,7.1,5,Associate,128295,Yes,Yes,51.0,Pass
Female,19,8.9,78.1,51.9,7.9,6,Bachelor,137045,No,Yes,41.8,Fail
Female,21,27.0,90.9,57.2,5.4,2,Master,30105,Yes,Yes,59.6,Pass
Female,15,12.9,84.1,74.9,10.0,4,Master,67645,Yes,Yes,67.7,Pass
Female,22,14.7,83.9,59.6,7.0,2,High School,148291,No,Yes,55.3,Pass
Male,18,17.3,70.3,66.1,7.2,3,Master,48146,Yes,Yes,57.7,Pass
Female,22,14.3,70.5,53.0,8.5,6,Associate,62294,Yes,Yes,45.2,Fail
Female,18,24.2,77.2,95.7,8.1,3,Associate,93596,Yes,Yes,68.2,Pass
Male,19,10.3,81.0,69.0,7.0,1,Bachelor,40612,Yes,No,53.3,Pass
Female,21,15.2,65.1,84.1,7.2,3,Associate,52120,No,Yes,53.0,Pass
Male,21,9.5,69.3,74.9,5.2,7,High School,39294,Yes,Yes,47.2,Fail
Female,21,6.1,97.8,67.4,6.3,6,Associate,102300,No,Yes,53.8,Pass
Female,17,10.3,93.8,66.7,7.6,1,Bachelor,100119,No,Yes,61.1,Pass
Male,16,13.8,49.3,57.8,7.5,3,Associate,99096,No,Yes,39.3,Fail
Male,17,11.4,60.7,61.7,8.5,7,Bachelor,58615,Yes,Yes,49.0,Fail
Male,20,9.8,67.0,53.9,6.9,4,Bachelor,44863,No,Yes,47.8,Fail
Male,20,5.6,84.5,52.4,5.3,3,Bachelor,47469,No,Yes,40.7,Fail
Male,22,13.5,74.0,97.2,8.3,0,Master,121101,No,Yes,69.8,Pass
Female,16,5.0,65.3,71.9,8.7,6,Associate,107446,Yes,No,51.2,Pass
Female,19,18.6,67.6,88.5,8.1,4,High School,130613,Yes,No,57.0,Pass
Male,16,14.5,69.6,56.9,6.8,6,Associate,135456,No,Yes,35.0,Fail
Male,18,5.3,86.3,50.5,8.3,6,Associate,81872,Yes,Yes,32.5,Fail
Other,20,12.1,77.7,54.3,10.0,2,Bachelor,50208,No,Yes,52.9,Pass
Female,15,9.5,50.3,62.1,7.1,5,High School,69998,Yes,Yes,42.6,Fail
Female,15,15.9,78.2,68.5,5.4,4,Associate,74994,Yes,Yes,56.6,Pass
Male,19,22.0,80.0,65.9,6.3,6,Bachelor,77895,Yes,Yes,61.8,Pass
Female,18,2.7,99.2,57.2,7.8,4,Bachelor,50894,No,Yes,41.6,Fail
Male,22,14.7,85.3,69.2,5.1,4,Bachelor,39990,Yes,No,51.5,Pass
Male,17,13.0,71.6,70.5,7.2,2,Master,91230,Yes,Yes,62.0,Pass
Female,18,18.0,88.8,77.8,7.5,5,Bachelor,54087,Yes,No,65.2,Pass
Male,15,15.3,74.2,88.6,8.8,5,Bachelor,26673,Yes,Yes,63.1,Pass
Male,15,9.5,80.4,62.9,8.6,3,Associate,50187,No,Yes,42.9,Fail
Female,22,12.1,82.9,85.0,8.0,4,Doctorate,41553,Yes,Yes,69.3,Pass
Male,20,9.2,81.1,68.9,4.4,5,Bachelor,61780,No,Yes,50.7,Pass
Male,18,20.5,81.9,46.6,8.1,6,High School,122794,Yes,No,40.7,Fail
Male,18,14.1,54.1,93.0,7.8,5,High School,100158,No,Yes,43.6,Fail
Female,15,25.4,69.8,99.8,7.3,7,Bachelor,19420,Yes,Yes,73.5,Pass
Male,17,13.6,82.6,76.7,4.9,5,Master,62310,No,No,52.0,Pass
Female,19,9.7,54.6,69.3,6.1,2,High School,61953,No,Yes,45.4,Fail
Female,21,4.9,41.6,64.2,5.6,7,High School,22987,No,Yes,33.8,Fail
Male,19,3.2,66.7,61.5,4.6,1,Master,50456,No,Yes,41.1,Fail
Female,18,4.5,91.8,84.9,7.0,5,Master,136763,Yes,Yes,64.1,Pass
Female,19,15.6,74.3,67.8,6.0,6,High School,103398,Yes,Yes,46.8,Fail
Male,15,17.1,62.9,91.4,10.0,4,Associate,135183,Yes,Yes,55.9,Pass
Male,15,4.5,93.2,68.5,6.8,4,Bachelor,107782,Yes,Yes,47.1,Fail
Male,22,19.4,54.3,62.2,8.6,4,Associate,140740,Yes,Yes,51.9,Pass
Male,18,11.1,87.5,59.6,5.1,0,Master,47681,No,Yes,63.9,Pass
Female,22,14.9,74.9,57.6,6.4,6,High School,26323,No,Yes,44.7,Fail
Female,18,23.7,50.4,75.2,7.1,3,High School,85393,No,Yes,62.0,Pass
Female,21,,80.7,49.9,5.9,3,High School,114123,Yes,Yes,57.9,Pass
Male,21,12.4,74.3,56.5,6.5,5,High School,109354,No,Yes,46.0,Fail
Male,20,8.7,75.1,86.5,6.7,5,High School,116808,No,Yes,60.1,Pass
Male,18,1.1,82.6,54.6,6.7,3,High School,26484,Yes,Yes,50.3,Pass
Male,17,9.7,77.5,80.1,9.2,2,Bachelor,88459,Yes,No,64.5,Pass
Female,19,12.7,86.8,39.1,7.5,3,High School,145162,Yes,Yes,35.8,Fail
Male,18,8.1,74.5,88.3,7.6,3,Master,99456,Yes,Yes,62.2,Pass
Female,16,13.2,96.9,50.2,7.6,4,Associate,72890,Yes,Yes,49.3,Fail
Male,20,14.5,73.0,55.7,7.7,1,Bachelor,31319,Yes,Yes,60.7,Pass
Female,16,12.7,88.7,77.5,6.9,6,High School,125697,Yes,No,51.9,Pass
Male,15,10.1,87.8,71.8,6.6,6,High School,144193,Yes,Yes,61.4,Pass
Female,21,15.0,73.9,80.5,7.2,5,Bachelor,77432,No,Yes,58.1,Pass
Female,19,16.7,65.8,50.1,8.4,5,Bachelor,85696,No,Yes,46.6,Fail
Female,18,7.5,91.3,64.0,8.4,3,Bachelor,74485,No,Yes,51.6,Pass
Male,16,22.5,88.6,59.4,6.7,1,Bachelor,140359,Yes,Yes,62.4,Pass
Male,19,13.4,76.0,52.5,7.9,0,Bachelor,43294,Yes,Yes,56.0,Pass
Female,15,14.1,90.8,76.3,6.8,3,Associate,26255,No,Yes,58.2,Pass
Female,21,18.2,87.2,81.2,7.0,1,Master,127429,No,Yes,65.1,Pass
Male,17,15.4,71.7,63.3,6.4,4,Bachelor,105464,Yes,Yes,52.7,Pass
Female,20,19.7,78.1,89.3,6.8,1,Doctorate,149444,Yes,Yes,83.2,Pass
Male,19,15.7,79.2,57.0,8.6,4,Master,130848,Yes,Yes,67.3,Pass
Male,19,10.3,66.6,89.0,7.1,5,High School,41855,Yes,Yes,53.0,Pass
Female,17,16.2,79.8,75.9,7.2,7,Associate,52758,Yes,Yes,61.5,Pass
Female,19,7.1,92.2,50.9,5.3,7,Bachelor,123094,Yes,Yes,43.0,Fail
Other,15,14.7,87.6,95.7,6.6,4,Bachelor,92089,No,Yes,64.4,Pass
Female,15,13.8,99.6,61.8,6.7,3,Bachelor,23383,No,Yes,51.6,Pass
Female,17,12.8,85.0,84.9,6.0,3,Bachelor,78112,No,No,63.3,Pass
Male,20,13.2,97.4,70.0,7.0,5,High School,149787,Yes,Yes,59.1,Pass
Male,18,2.7,73.1,73.2,6.5,7,High School,97486,Yes,Yes,48.5,Fail
Other,16,10.7,91.9,80.6,7.1,2,High School,91528,Yes,Yes,64.8,Pass
Male,18,14.6,96.7,79.8,7.1,5,Bachelor,117354,Yes,Yes,60.5,Pass
Female,19,15.0,64.3,63.2,5.9,7,Bachelor,88278,No,Yes,45.6,Fail
Female,16,7.8,84.9,75.4,6.5,4,Associate,31369,Yes,Yes,57.8,Pass
Male,22,,45.2,74.4,7.1,2,Bachelor,78428,Yes,Yes,56.6,Pass
Male,17,8.8,85.8,71.0,8.4,5,High School,83123,No,Yes,50.3,Pass
Female,17,19.8,87.7,65.2,7.3,5,High School,108914,Yes,No,49.8,Fail
Male,20,16.6,65.7,71.0,6.2,3,Bachelor,36064,No,No,58.1,Pass
Female,16,10.1,67.1,95.5,7.5,8,Associate,31690,No,Yes,59.1,Pass
Male,15,24.7,78.4,63.9,9.0,2,Bachelor,119025,Yes,Yes,70.5,Pass
Female,16,6.8,86.2,84.9,8.1,4,Master,118867,Yes,Yes,66.7,Pass
Female,19,19.5,61.9,59.3,7.7,4,Master,32559,No,No,44.7,Fail
Female,15,20.0,74.2,55.7,7.9,6,High School,66429,Yes,Yes,47.8,Fail
Female,21,10.0,64.5,100.0,8.7,4,Associate,34972,Yes,Yes,58.7,Pass
Female,21,22.4,96.7,75.6,8.3,1,Bachelor,59530,Yes,No,67.2,Pass
Male,22,12.5,80.2,75.9,7.7,2,Bachelor,141297,No,Yes,63.8,Pass
Male,21,15.7,67.7,76.3,8.3,6,Bachelor,19365,No,Yes,47.5,Fail
Male,17,15.6,89.3,87.7,5.7,5,High School,67683,No,No,53.0,Pass
Male,16,13.2,74.8,73.7,5.2,8,High School,112356,Yes,Yes,48.0,Fail
Female,21,18.9,93.5,79.4,7.2,4,Bachelor,147406,No,Yes,57.6,Pass
Female,18,18.8,62.0,53.2,7.1,4,Bachelor,76896,Yes,Yes,52.4,Pass
Male,20,3.5,83.3,81.8,6.3,4,Associate,117339,Yes,No,50.3,Pass
Female,18,21.8,87.3,64.7,8.0,3,High School,38100,Yes,Yes,65.1,Pass
Male,21,4.0,89.8,77.4,4.8,3,Bachelor,138763,Yes,Yes,55.8,Pass
Female,22,20.2,83.5,44.0,6.4,7,High School,79645,Yes,No,45.9,Fail
Male,20,20.8,72.2,76.8,6.4,3,High School,87551,No,Yes,56.9,Pass
Female,19,7.5,83.7,36.6,5.0,3,High School,22840,No,Yes,25.0,Fail
Male,18,11.5,60.6,64.1,8.8,6,Associate,104069,Yes,Yes,40.9,Fail
Male,22,7.4,80.8,44.1,5.4,3,Bachelor,103990,Yes,Yes,47.7,Fail
Other,16,12.7,77.4,76.9,6.3,3,Associate,66105,Yes,Yes,59.6,Pass
Female,16,12.2,63.6,69.0,8.1,2,High School,23699,Yes,Yes,51.3,Pass
Male,18,18.7,96.8,57.2,7.8,5,High School,105200,Yes,Yes,62.2,Pass
Male,21,21.9,51.0,88.1,5.7,5,High School,115806,Yes,Yes,60.0,Pass
Male,22,22.4,85.8,55.4,7.8,6,Bachelor,144473,Yes,Yes,65.7,Pass
Male,16,10.6,95.0,35.0,7.3,3,High School,20822,Yes,Yes,32.0,Fail
Male,19,12.7,75.2,75.2,9.8,6,Bachelor,108585,No,Yes,63.9,Pass
Female,15,3.9,77.3,43.3,7.5,2,High School,105420,No,Yes,34.6,Fail
Male,21,9.2,80.7,55.9,6.8,4,High School,31052,Yes,Yes,46.9,Fail
Male,22,19.8,90.5,60.8,6.0,9,High School,101574,No,Yes,54.9,Pass
Male,19,23.7,96.1,48.1,6.1,4,High School,148171,Yes,Yes,44.3,Fail
Female,22,6.6,61.8,61.1,6.0,4,Bachelor,137879,No,Yes,42.5,Fail
Female,20,10.4,98.9,48.3,8.6,1,Associate,34551,No,Yes,55.9,Pass
Male,19,13.8,87.7,70.3,7.0,0,Master,87915,No,Yes,59.0,Pass
Male,21,15.7,87.7,50.8,7.7,4,High School,25661,No,Yes,52.1,Pass
Female,20,9.1,75.3,68.4,8.8,2,High School,90503,No,Yes,52.9,Pass
Male,21,16.5,79.6,84.3,4.2,4,Associate,113406,No,Yes,59.0,Pass
Female,16,11.2,87.7,79.0,8.5,2,Bachelor,103930,Yes,Yes,66.9,Pass
Female,15,13.9,56.2,66.9,7.1,3,Associate,142534,No,Yes,54.5,Pass
Female,21,17.3,79.8,54.2,7.5,4,Associate,149904,No,Yes,52.8,Pass
Female,21,14.0,86.7,70.2,6.0,4,Associate,76859,No,No,55.9,Pass
Male,16,11.4,78.7,58.3,6.1,4,High School,62630,Yes,Yes,43.6,Fail
Female,17,13.3,93.5,70.8,7.6,4,Master,19076,Yes,No,63.2,Pass
Male,16,13.5,50.5,44.0,9.9,4,Associate,131868,Yes,No,41.6,Fail
Other,20,11.8,69.0,79.3,8.2,6,Bachelor,116343,No,Yes,59.7,Pass
Male,16,12.4,40.0,68.5,8.5,5,Bachelor,81705,No,Yes,39.7,Fail
Male,16,23.6,81.3,98.9,6.8,4,Associate,132870,Yes,Yes,77.2,Pass
Female,15,17.4,94.7,86.3,6.3,6,High School,113395,Yes,Yes,58.6,Pass
Male,16,12.2,69.6,75.9,6.1,2,Bachelor,121800,No,Yes,67.0,Pass
Male,22,18.2,87.2,66.3,6.4,6,High School,63760,Yes,Yes,50.5,Pass
Female,21,12.0,76.4,57.8,4.5,4,Associate,141476,No,Yes,40.1,Fail
Male,22,21.0,97.6,81.2,6.1,2,Bachelor,53276,No,No,63.5,Pass
Male,15,16.2,67.4,64.8,6.3,10,Bachelor,79913,Yes,Yes,55.1,Pass
Male,18,13.4,75.7,84.4,6.8,4,Bachelor,91608,Yes,Yes,63.8,Pass
Male,17,,65.7,73.6,7.2,5,Bachelor,31348,No,Yes,62.7,Pass
Male,22,4.6,95.4,73.7,7.4,6,High School,64678,No,Yes,47.8,Fail
Female,15,7.2,69.6,76.3,7.0,5,Associate,132369,Yes,Yes,49.3,Fail
Male,20,6.8,92.5,55.1,6.3,2,High School,18318,Yes,Yes,45.3,Fail
Male,18,14.9,57.6,53.7,4.6,1,Bachelor,95354,Yes,Yes,47.0,Fail
Female,15,24.4,78.6,53.2,6.3,4,Doctorate,44011,Yes,No,51.5,Pass
Female,15,27.4,77.8,82.7,5.8,4,High School,36787,Yes,Yes,61.8,Pass
Female,17,17.8,87.6,54.8,7.6,7,High School,130286,No,Yes,41.5,Fail
Male,21,17.0,94.1,56.5,8.1,2,Associate,127160,No,Yes,58.9,Pass
Other,22,3.2,82.1,75.5,8.1,1,Master,117032,No,Yes,64.1,Pass
Female,20,10.7,59.5,64.5,7.9,6,Bachelor,120305,Yes,Yes,50.2,Pass
Male,19,9.3,70.3,62.7,6.8,3,High School,26752,No,No,38.5,Fail
Female,22,10.3,59.7,61.5,6.4,1,Doctorate,142345,Yes,Yes,58.8,Pass
Male,19,13.0,95.6,35.4,6.1,3,Master,98506,No,No,45.1,Fail
Male,15,11.2,90.7,54.5,5.2,4,High School,128382,No,Yes,50.8,Pass
Male,16,2.1,73.5,84.5,8.2,1,Master,116328,No,Yes,52.7,Pass
Female,20,18.5,80.9,60.4,6.8,3,Associate,30657,No,Yes,48.9,Fail
Female,18,7.6,84.4,41.4,5.5,5,Associate,99119,No,Yes,42.8,Fail
Female,16,15.4,87.9,53.9,6.0,1,Associate,39491,No,Yes,51.9,Pass
Female,16,26.4,89.3,73.0,6.0,2,Master,121010,No,Yes,72.9,Pass
Male,22,8.5,91.0,72.8,7.1,5,Bachelor,146801,Yes,Yes,53.5,Pass
Male,20,1.0,61.2,63.9,8.3,7,High School,60180,Yes,Yes,41.5,Fail
Other,21,12.3,73.8,58.4,6.6,6,Doctorate,36540,No,Yes,53.9,Pass
Other,15,20.6,86.1,48.4,4.3,1,High School,25943,Yes,Yes,45.0,Fail
Male,15,25.8,91.3,73.2,6.8,2,Bachelor,138730,Yes,Yes,69.8,Pass
Male,15,6.6,90.0,79.7,6.8,2,Bachelor,26911,No,Yes,48.1,Fail
Male,15,17.0,68.1,86.0,6.7,2,High School,81000,Yes,Yes,67.9,Pass
Male,22,11.2,74.7,52.5,6.2,8,High School,87305,Yes,Yes,35.3,Fail
Female,19,13.4,75.1,87.1,7.3,7,Master,20479,No,Yes,58.7,Pass
Female,15,29.9,84.9,67.2,7.1,2,Associate,28112,Yes,No,63.7,Pass
Female,19,5.0,92.9,68.4,7.0,2,Bachelor,127575,Yes,Yes,52.3,Pass
Male,19,15.5,66.9,80.5,7.5,4,Associate,64809,Yes,Yes,67.5,Pass
Male,21,16.8,46.0,60.4,6.5,7,Bachelor,50205,Yes,Yes,43.2,Fail
Female,15,20.5,89.6,37.7,6.4,8,Associate,128947,No,Yes,42.7,Fail
Male,17,14.6,94.5,77.9,8.7,3,High School,52826,No,No,52.6,Pass
Male,18,15.8,86.9,72.9,7.7,4,Associate,144201,Yes,No,53.6,Pass
Female,16,11.7,80.0,63.0,8.0,2,Master,105691,Yes,No,55.1,Pass
Female,19,15.6,77.9,76.7,8.5,3,Associate,134558,Yes,No,61.1,Pass
Male,20,11.9,79.7,79.6,7.6,3,High School,119925,Yes,Yes,58.3,Pass
Male,20,17.7,82.3,46.8,8.1,7,Master,114320,No,Yes,46.1,Fail
Male,18,11.8,75.5,68.3,5.1,2,Bachelor,50401,No,Yes,53.2,Pass
Male,20,16.3,90.0,36.1,7.2,6,High School,108236,Yes,Yes,37.5,Fail
Male,17,13.8,63.2,66.3,6.8,2,Doctorate,82702,Yes,Yes,64.8,Pass
Male,20,20.8,65.1,62.8,9.0,2,Bachelor,97297,Yes,Yes,56.5,Pass
Male,16,13.7,88.3,74.9,8.1,3,High School,126327,Yes,Yes,56.7,Pass
Male,16,3.4,93.8,53.0,6.2,7,High School,90353,No,Yes,29.9,Fail
Female,19,21.6,82.7,62.1,7.4,3,Bachelor,25430,Yes,Yes,58.7,Pass
Female,15,8.6,82.0,35.0,7.2,2,Bachelor,52484,Yes,Yes,53.6,Pass
Female,21,10.1,40.0,75.8,7.5,6,High School,142506,Yes,Yes,47.5,Fail
Male,17,10.4,75.7,66.8,5.8,0,High School,46604,No,Yes,55.4,Pass
Male,19,22.2,78.2,69.2,7.4,2,Associate,125385,No,Yes,59.5,Pass
Male,17,1.2,89.3,47.1,6.7,3,Bachelor,35762,Yes,No,29.7,Fail
Female,15,32.8,90.4,73.6,7.3,3,High School,137272,No,Yes,66.4,Pass
Female,22,20.3,93.2,91.1,6.1,1,High School,107230,Yes,Yes,70.9,Pass
Female,20,15.3,85.2,65.4,6.3,4,Bachelor,97091,No,Yes,59.6,Pass
Female,20,13.7,89.8,77.1,8.4,5,Bachelor,132919,No,Yes,59.4,Pass
Male,21,15.7,59.3,55.8,5.7,3,Associate,148731,Yes,Yes,44.2,Fail
Female,15,17.1,69.4,66.9,5.8,1,Associate,28004,Yes,Yes,56.0,Pass
Female,19,17.9,69.8,46.6,6.9,4,Associate,121726,Yes,Yes,46.4,Fail
Male,21,17.3,57.9,79.0,6.1,5,Associate,18247,No,Yes,55.0,Pass
Female,15,14.5,89.8,70.2,5.9,5,Doctorate,129902,Yes,Yes,62.9,Pass
Male,18,12.8,82.5,50.9,7.1,0,Bachelor,63995,No,No,43.8,Fail
Male,16,13.1,51.3,56.8,5.2,7,High School,77423,No,Yes,39.7,Fail
Female,21,12.8,78.2,68.9,5.8,4,Associate,79969,Yes,Yes,50.6,Pass
Male,21,20.8,61.1,80.9,9.5,1,Associate,47052,Yes,No,59.0,Pass
Male,19,17.6,87.8,88.7,7.6,8,Bachelor,67214,No,Yes,60.2,Pass
Male,17,1.0,54.7,66.1,6.1,3,Associate,86858,Yes,Yes,44.0,Fail
Female,18,17.9,85.7,48.9,7.5,1,Master,58765,Yes,Yes,52.1,Pass
Male,19,15.2,74.2,71.3,7.7,2,Bachelor,63284,Yes,Yes,60.3,Pass
Male,15,13.9,69.4,93.0,8.2,7,Associate,68034,Yes,Yes,65.7,Pass
Female,15,11.7,77.1,45.3,6.8,4,Master,51161,Yes,No,47.2,Fail
Female,15,20.7,93.9,54.6,8.2,4,Bachelor,71565,No,Yes,53.8,Pass
Other,22,19.7,58.7,76.6,4.6,3,Bachelor,79314,No,Yes,54.0,Pass
Male,15,9.4,66.3,70.2,5.7,2,Doctorate,137378,Yes,Yes,59.4,Pass
Female,17,16.4,86.8,60.4,7.2,5,High School,69929,Yes,Yes,55.8,Pass
Male,18,8.2,82.4,71.1,7.4,2,High School,26086,No,No,55.3,Pass
Female,20,5.7,48.3,81.7,5.9,4,Master,117209,No,Yes,41.5,Fail
Female,16,10.2,78.6,66.6,7.3,6,Bachelor,136409,No,Yes,51.6,Pass
Female,17,19.2,80.4,65.4,6.3,3,Master,100563,Yes,No,60.0,Pass
Female,17,,75.2,76.2,6.7,5,High School,131212,Yes,Yes,57.3,Pass
Female,22,17.1,90.8,64.2,8.2,3,Bachelor,123317,Yes,Yes,63.4,Pass
Female,20,18.4,75.9,84.0,8.1,4,High School,63602,Yes,Yes,60.2,Pass
Male,20,17.1,91.8,96.4,5.8,2,Associate,94213,Yes,Yes,65.7,Pass
Female,16,10.2,73.5,55.5,5.7,8,High School,130355,Yes,No,40.0,Fail
Female,16,16.6,63.0,50.5,6.5,4,High School,70545,No,Yes,45.3,Fail
Male,20,18.8,88.4,73.2,7.0,5,High School,126720,No,Yes,55.8,Pass
Female,15,18.5,83.4,50.0,6.2,3,Bachelor,33009,No,Yes,57.2,Pass
Male,17,21.1,84.2,49.8,8.2,4,Associate,48246,Yes,Yes,53.4,Pass
Female,19,18.2,88.7,39.3,7.4,6,High School,46185,Yes,Yes,48.6,Fail
Female,16,16.1,76.4,62.6,7.5,3,Associate,142868,Yes,Yes,47.3,Fail
Female,22,20.4,91.8,67.5,5.5,5,High School,104488,No,Yes,66.1,Pass
Female,22,13.8,68.4,60.8,8.4,6,Master,64642,Yes,Yes,52.5,Pass
Female,16,8.7,77.2,87.5,4.0,4,Associate,27185,Yes,Yes,55.0,Pass
Female,20,13.0,80.4,86.4,8.0,3,Associate,82366,No,Yes,58.5,Pass
Female,18,9.5,83.3,95.0,8.1,5,Master,35505,Yes,Yes,62.3,Pass
Female,19,9.9,47.1,68.7,6.5,2,Bachelor,46022,Yes,Yes,44.2,Fail
Female,19,13.1,97.3,84.6,8.5,7,Bachelor,98196,Yes,Yes,65.1,Pass
Female,16,9.2,80.4,72.3,6.9,4,Bachelor,92385,Yes,Yes,57.1,Pass
Female,15,12.2,75.6,70.9,7.1,3,Master,88272,No,No,54.7,Pass
Male,18,2.6,53.7,61.5,7.4,2,High School,21909,No,Yes,38.2,Fail
Male,19,15.3,82.8,36.3,10.0,2,Doctorate,149866,Yes,Yes,54.5,Pass
Female,16,14.0,43.9,76.9,8.6,2,Master,101481,Yes,Yes,51.5,Pass
Male,22,9.1,67.9,84.2,7.8,0,Bachelor,76527,No,Yes,56.2,Pass
Male,19,18.0,69.6,46.6,5.9,5,Bachelor,41807,No,Yes,46.6,Fail
Female,21,19.6,69.8,67.9,7.2,4,Bachelor,28856,Yes,Yes,55.9,Pass
Male,18,4.4,88.2,81.9,6.0,1,High School,110205,Yes,Yes,58.3,Pass
